"x","y","track_id","time"
117.53041,192.81406,"3f",1970-01-01 01:02:21
118.66216,193.04171,"3f",1970-01-01 01:02:22
119.77439,193.04871,"3f",1970-01-01 01:02:23
120.89964,192.72349,"3f",1970-01-01 01:02:24
122.02488,192.5869,"3f",1970-01-01 01:02:25
123.15663,192.81455,"3f",1970-01-01 01:02:26
124.26886,192.81455,"3f",1970-01-01 01:02:27
125.3811,192.81455,"3f",1970-01-01 01:02:28
126.48683,193.75117,"3f",1970-01-01 01:02:29
127.64459,193.4845,"3f",1970-01-01 01:02:30
134.68874,192.02705,"3g",1970-01-01 01:02:31
135.52129,192.81407,"3g",1970-01-01 01:02:32
136.84167,192.81407,"3g",1970-01-01 01:02:33
137.88886,192.11161,"3g",1970-01-01 01:02:34
139.07264,192.81407,"3g",1970-01-01 01:02:35
141.5898,192.37178,"3g",1970-01-01 01:02:36
142.65,193.54906,"3g",1970-01-01 01:02:37
143.8533,193.0092,"3g",1970-01-01 01:02:38
144.9135,193.50353,"3g",1970-01-01 01:02:39
145.63547,192.48235,"3g",1970-01-01 01:02:40
146.54607,193.26937,"3g",1970-01-01 01:02:41
147.76238,193.23037,"3g",1970-01-01 01:02:42
148.5494,193.95234,"3g",1970-01-01 01:02:43
149.85026,193.95934,"3g",1970-01-01 01:02:44
150.44215,192.97719,"3g",1970-01-01 01:02:45
151.86009,193.02269,"3g",1970-01-01 01:02:46
152.62109,194.16745,"3g",1970-01-01 01:02:47
153.95447,194.16745,"3g",1970-01-01 01:02:48
155.15776,194.68779,"3g",1970-01-01 01:02:49
156.4196,193.96581,"3g",1970-01-01 01:02:50
157.51882,194.46014,"3g",1970-01-01 01:02:51
158.7026,193.92028,"3g",1970-01-01 01:02:52
158.58553,194.94796,"3g",1970-01-01 01:02:53
159.87989,194.53168,"3g",1970-01-01 01:02:54
169.31762,191.188,"3h",1970-01-01 01:02:55
170.03309,189.41232,"3h",1970-01-01 01:02:56
171.24289,191.71484,"3h",1970-01-01 01:02:57
168.43954,188.80092,"3h",1970-01-01 01:02:58
171.70469,188.54075,"3h",1970-01-01 01:02:59
171.95186,191.29207,"3h",1970-01-01 01:03:00
174.71618,190.78473,"3h",1970-01-01 01:03:01
177.55206,191.25954,"3h",1970-01-01 01:03:02
178.25452,189.30175,"3h",1970-01-01 01:03:03
179.01552,191.59777,"3h",1970-01-01 01:03:04
176.84959,192.93115,"3h",1970-01-01 01:03:05
178.76836,194.01086,"3h",1970-01-01 01:03:06
181.03836,192.92464,"3h",1970-01-01 01:03:07
183.08721,191.38313,"3h",1970-01-01 01:03:08
180.97982,190.24487,"3h",1970-01-01 01:03:09
180.83022,187.72121,"3h",1970-01-01 01:03:10
182.28068,189.65298,"3h",1970-01-01 01:03:11
181.68879,192.49536,"3h",1970-01-01 01:03:12
183.5295,192.04006,"3h",1970-01-01 01:03:13
185.96861,190.66115,"3h",1970-01-01 01:03:14
187.95893,189.55542,"3h",1970-01-01 01:03:15
187.10687,187.50657,"3h",1970-01-01 01:03:16
189.39638,187.51357,"3h",1970-01-01 01:03:17
191.81598,186.42735,"3h",1970-01-01 01:03:18
91.08339,143.57309,"4a",1970-01-01 01:03:19
92.334382,143.95942,"4a",1970-01-01 01:03:20
92.969075,143.72946,"4a",1970-01-01 01:03:21
93.980908,143.55469,"4a",1970-01-01 01:03:22
94.946746,142.95679,"4a",1970-01-01 01:03:23
95.747012,142.42328,"4a",1970-01-01 01:03:24
96.841628,140.70317,"4a",1970-01-01 01:03:25
96.418501,139.2866,"4a",1970-01-01 01:03:26
95.848194,138.19199,"4a",1970-01-01 01:03:27
94.891556,137.16176,"4a",1970-01-01 01:03:28
94.164875,136.14993,"4a",1970-01-01 01:03:29
92.959878,135.57962,"4a",1970-01-01 01:03:30
92.012435,134.79775,"4a",1970-01-01 01:03:31
92.2332,133.52837,"4a",1970-01-01 01:03:32
90.531482,132.46134,"4a",1970-01-01 01:03:33
89.556445,131.41272,"4a",1970-01-01 01:03:34
86.585341,131.56909,"4a",1970-01-01 01:03:35
84.653666,130.97119,"4a",1970-01-01 01:03:36
82.289659,129.26948,"4a",1970-01-01 01:03:37
80.413173,128.49681,"4a",1970-01-01 01:03:38
77.212109,128.84635,"4a",1970-01-01 01:03:39
73.275164,128.76355,"4a",1970-01-01 01:03:40
71.131923,131.17355,"4a",1970-01-01 01:03:41
68.596013,131.09995,"4a",1970-01-01 01:03:42
68.584553,130.48153,"4a",1970-01-01 01:03:43
70.726138,129.5768,"4a",1970-01-01 01:03:44
72.260748,127.54973,"4a",1970-01-01 01:03:45
72.615771,125.91205,"4a",1970-01-01 01:03:46
73.039507,123.80482,"4a",1970-01-01 01:03:47
73.154031,120.02556,"4a",1970-01-01 01:03:48
73.428886,117.84961,"4a",1970-01-01 01:03:49
73.073865,115.63931,"4a",1970-01-01 01:03:50
72.867723,113.77258,"4a",1970-01-01 01:03:51
71.607965,110.33689,"4a",1970-01-01 01:03:52
68.034841,108.53887,"4a",1970-01-01 01:03:53
65.435162,106.93555,"4a",1970-01-01 01:03:54
63.362292,105.76741,"4a",1970-01-01 01:03:55
61.655893,103.31661,"4a",1970-01-01 01:03:56
60.60228,100.87726,"4a",1970-01-01 01:03:57
57.762103,98.941821,"4a",1970-01-01 01:03:58
55.803755,98.426466,"4a",1970-01-01 01:03:59
53.284249,98.632608,"4a",1970-01-01 01:04:00
51.932874,95.437408,"4a",1970-01-01 01:04:01
51.096854,92.448351,"4a",1970-01-01 01:04:02
49.89436,90.134981,"4a",1970-01-01 01:04:03
46.825136,89.848673,"4a",1970-01-01 01:04:04
43.607032,88.085015,"4a",1970-01-01 01:04:05
42.106777,85.40517,"4a",1970-01-01 01:04:06
38.92303,85.0616,"4a",1970-01-01 01:04:07
37.44568,84.626412,"4a",1970-01-01 01:04:08
35.647665,84.76384,"4a",1970-01-01 01:04:09
34.158862,83.88201,"4a",1970-01-01 01:04:10
32.738774,85.267742,"4a",1970-01-01 01:04:11
31.971468,86.836711,"4a",1970-01-01 01:04:12
34.926168,90.833573,"4a",1970-01-01 01:04:13
35.235381,93.135491,"4a",1970-01-01 01:04:14
36.369161,94.922054,"4a",1970-01-01 01:04:15
37.903773,97.876754,"4a",1970-01-01 01:04:16
41.007354,100.2932,"4a",1970-01-01 01:04:17
43.503961,100.85436,"4a",1970-01-01 01:04:18
46.641899,103.60292,"4a",1970-01-01 01:04:19
48.096344,106.79812,"4a",1970-01-01 01:04:20
49.905812,110.45141,"4a",1970-01-01 01:04:21
51.52059,113.93292,"4a",1970-01-01 01:04:22
53.524748,117.39152,"4a",1970-01-01 01:04:23
57.326919,119.22389,"4a",1970-01-01 01:04:24
60.029669,122.81992,"4a",1970-01-01 01:04:25
62.938559,125.72881,"4a",1970-01-01 01:04:26
65.870357,128.16816,"4a",1970-01-01 01:04:27
69.397673,129.70277,"4a",1970-01-01 01:04:28
71.390377,129.73717,"4a",1970-01-01 01:04:29
76.200354,131.55809,"4a",1970-01-01 01:04:30
77.918204,133.12706,"4a",1970-01-01 01:04:31
80.437717,134.48988,"4a",1970-01-01 01:04:32
82.72818,136.49404,"4a",1970-01-01 01:04:33
85.247694,138.2806,"4a",1970-01-01 01:04:34
86.782306,140.09007,"4a",1970-01-01 01:04:35
88.37418,141.46435,"4a",1970-01-01 01:04:36
91.08339,143.57309,"4a",1970-01-01 01:04:37
169.50955,141.64541,"4b",1970-01-01 01:04:38
166.0274,136.62464,"4b",1970-01-01 01:04:39
163.63039,135.42613,"4b",1970-01-01 01:04:40
160.76369,132.34888,"4b",1970-01-01 01:04:41
164.52117,129.09348,"4b",1970-01-01 01:04:42
168.29485,128.55901,"4b",1970-01-01 01:04:43
173.8177,130.2272,"4b",1970-01-01 01:04:44
175.09718,129.09348,"4b",1970-01-01 01:04:45
176.39287,125.36839,"4b",1970-01-01 01:04:46
172.81354,121.99962,"4b",1970-01-01 01:04:47
169.94684,116.46057,"4b",1970-01-01 01:04:48
171.06437,110.19271,"4b",1970-01-01 01:04:49
170.35175,106.1437,"4b",1970-01-01 01:04:50
169.08845,102.96927,"4b",1970-01-01 01:04:51
167.22591,98.288619,"4b",1970-01-01 01:04:52
162.56145,94.644511,"4b",1970-01-01 01:04:53
158.17232,98.887873,"4b",1970-01-01 01:04:54
154.96551,96.312703,"4b",1970-01-01 01:04:55
151.49956,94.93604,"4b",1970-01-01 01:04:56
149.94474,91.25954,"4b",1970-01-01 01:04:57
144.48667,92.539027,"4b",1970-01-01 01:04:58
142.83468,93.284044,"4b",1970-01-01 01:04:59
139.40112,96.507055,"4b",1970-01-01 01:05:00
137.8625,100.60465,"4b",1970-01-01 01:05:01
132.48541,105.05856,"4b",1970-01-01 01:05:02
127.01115,102.58057,"4b",1970-01-01 01:05:03
121.27776,105.38248,"4b",1970-01-01 01:05:04
121.58548,109.65824,"4b",1970-01-01 01:05:05
117.90898,114.40368,"4b",1970-01-01 01:05:06
115.13946,117.10841,"4b",1970-01-01 01:05:07
112.5157,118.54986,"4b",1970-01-01 01:05:08
115.70632,124.39663,"4b",1970-01-01 01:05:09
116.1922,126.79364,"4b",1970-01-01 01:05:10
118.99411,128.04074,"4b",1970-01-01 01:05:11
122.11995,130.25959,"4b",1970-01-01 01:05:12
125.48872,134.29241,"4b",1970-01-01 01:05:13
130.78483,136.52746,"4b",1970-01-01 01:05:14
133.73251,134.43817,"4b",1970-01-01 01:05:15
136.95552,135.16699,"4b",1970-01-01 01:05:16
136.92312,138.34142,"4b",1970-01-01 01:05:17
138.28358,139.79906,"4b",1970-01-01 01:05:18
143.15859,141.14333,"4b",1970-01-01 01:05:19
145.44223,142.73054,"4b",1970-01-01 01:05:20
147.06183,141.83976,"4b",1970-01-01 01:05:21
150.39822,139.19981,"4b",1970-01-01 01:05:22
